State,County,Democratic,Republican,Party
WA,asotin,0.0,6388.968228899139,0
WY,teton,26102.2165014696,15628.500147605046,1
TX,erath,4889.701313409485,12484.487413615743,0
VT,grand isle,7761.672611507427,11755.508697253554,0
OH,morrow,0.0,7893.028312302778,0
MN,kittson,0.0,7275.202069652762,0
NE,holt,0.0,6829.481547482099,0
VA,petersburg city,0.0,0.0,1
WV,hancock,528.6861981589718,9542.611375772536,0
MN,redwood,0.0,4803.440091253864,0
MN,hennepin,372118.16990322625,229660.81327260443,1
TX,hansford,0.0,0.0,0
NE,greeley,0.0,5609.211288027023,0
TX,rains,0.0,0.0,0
MA,worcester,244642.21210749756,151394.0009914412,1
UT,weber,61742.31192832334,39973.12555024896,0
TX,delta,0.0,6362.9023730921035,0
VA,waynesboro city,0.0,3338.465766505782,0
ME,piscataquis,0.0,11062.00276778151,0
MT,petroleum,0.0,11925.176848135688,0
WV,logan,0.0,8498.48532925825,0
TX,jefferson,63530.69309037825,35321.676117386036,0
VA,virginia beach city,134617.90443191584,79676.06245262788,0
IN,vermillion,0.0,4948.526340909624,0
MA,berkshire,41256.84783164382,31395.17138777679,0
VA,prince edward,0.0,5618.052788843845,0
NE,sioux,166.30584805828403,12578.019525460888,0
TX,presidio,0.0,0.0,1
IN,jennings,0.0,3908.0408934928964,0
ND,sioux,0.0,0.0,1
NY,madison,17178.359100117832,19414.333588462523,0
NM,sandoval,39469.385983015505,19346.656875518383,1
TN,weakley,0.0,13519.938256319365,0
OH,montgomery,153818.2142829183,99886.57910446847,1
IN,miami,0.0,5323.8036256889445,0
IN,newton,0.0,1996.7597759681266,0
NE,sherman,0.0,6060.51196165994,0
ND,stark,1299.630057266284,1103.475261162068,0
WV,pleasants,0.0,3168.0487893072495,0
TX,panola,0.0,273.20995914149535,0
WA,whitman,20780.97701782383,27602.878161775952,1
NM,hidalgo,0.0,0.0,0
TX,ochiltree,0.0,0.0,0
WV,nicholas,0.0,11019.957384296118,0
ND,divide,0.0,4138.318763975243,0
MT,garfield,0.0,6642.645380143205,0
VA,gloucester,5306.791683141553,6950.970620462285,0
VA,fauquier,22448.217679245576,9002.747343939012,0
OH,henry,0.0,5015.876421284987,0
TN,union,0.0,7484.1553129972635,0
NE,deuel,0.0,4072.0508665476536,0
TX,gregg,25955.023219878793,16195.934577832431,0
MI,kent,187035.81134718418,120126.69215070989,0
VA,fairfax city,26600.299932872098,0.0,1
IN,elkhart,47120.32372363216,32540.590965825108,0
NY,new york,510658.2614752856,305437.67945504107,1
VA,giles,0.0,5933.171797632327,0
WI,polk,4990.816097156465,12972.93083810622,0
ND,bottineau,0.0,5904.002360599021,0
WI,richland,0.0,7554.6952890986995,0
IN,wabash,0.0,9233.10972567134,0
OH,champaign,0.0,8640.312059674223,0
UT,emery,0.0,1611.750628154823,0
MN,olmsted,52741.364355027166,32482.439413880136,0
MI,kalamazoo,78114.0498240526,55887.86044940241,0
MN,marshall,0.0,5970.7684642031345,0
TX,roberts,0.0,7457.859964832502,0
TN,trousdale,0.0,3294.1653025366177,0
TX,kleberg,0.0,0.0,0
PA,blair,28727.167361456566,27087.188078782186,0
FL,hernando,43134.90943965889,30153.175287229365,0
WA,kitsap,76083.52840635512,47407.7612853943,0
OH,franklin,369884.84826503834,232178.92310638062,1
TX,cass,0.0,6292.397675223499,0
VT,chittenden,61017.45816148129,42756.93992329328,1
OH,butler,107678.99498012681,70178.61886526889,0
NE,franklin,0.0,7598.262279748327,0
MD,cecil,22984.98864084402,16177.600271746547,0
NY,yates,0.0,11165.006158807239,0
